month,mean,median,std,min,max
12-09-2,55.175005778982644,54.55920792,12.39628944174874,17.53620911,124.4642181
12-10-2,35.66990798849305,34.762420655,8.956719640959012,13.51083279,69.89498901
12-11-2,30.704009843565974,30.48296547,5.525265148430223,13.51083279,48.55289078
13-01-2,27.128928206104167,26.94673443,3.2843110408013154,15.51859665,39.3421402
13-02-2,33.232747074291666,33.388937,4.918376828687677,13.51300716,54.40298462
13-03-2,34.04459108688541,34.494514464999995,5.63696348643509,13.51083279,57.92060852
13-04-2,33.76475758545139,33.175069805,5.476053687319113,17.33802986,58.39984512
13-05-2,39.599420826256946,39.99072838,7.4874636250623166,18.1586895,62.22110748
13-06-2,48.4645086904375,49.583589555,9.348757759598934,20.23030281,82.83500671
13-07-2,63.02042519054514,60.34220505,16.517315795824516,30.48688698,143.793396
13-08-2,51.88476038636458,50.3293972,12.889370459487038,17.47311401,104.4389877
13-09-2,50.44524469273958,49.189855574999996,12.944226253878256,15.64020252,103.0471039
13-10-2,31.489897205743056,31.16366196,5.28965995976784,14.76753712,55.81538773
13-11-2,31.38309282993403,30.866434095000002,5.69332214749488,13.51083279,61.46271896
14-01-2,26.45853350132292,26.25007439,3.141925648132829,15.91724873,38.11996841
14-02-2,37.035724808503474,36.976079940000005,6.303117031280695,15.91432858,73.66822815
14-03-2,33.230414076006944,33.44429779,5.912411278326236,13.51083279,64.70787048
14-04-2,34.02436806825347,34.039756775,5.671545899148484,13.5108757,56.87008667
14-05-2,40.18794354810764,40.24968529,7.271775188751897,17.63002777,72.50743103
14-06-2,48.097831075277774,47.055999755,12.905479478944489,14.05846119,135.6503143
14-07-2,56.60394443212152,56.497386930000005,12.580992892048988,20.24650002,98.83015442
14-08-2,55.91096594004514,55.138431545,13.895223596235498,15.39686775,129.5300751
14-09-2,52.26755103968056,50.681823730000005,13.100043847380098,15.72892857,121.7528839
14-10-2,28.563601308347224,28.44954014,3.951756557306592,15.22732258,44.72192001
14-11-2,35.28302684020486,35.057868955,5.407695583332138,17.74489403,54.49760056
15-01-2,27.270743934940974,27.177295684999997,3.1824716083618307,16.59290123,38.1248436
15-02-2,32.04770889077778,31.126471520000003,5.585672389925163,13.51083279,67.97537231
15-03-2,37.09145371411111,37.309734344999995,5.9461950692182395,15.46790886,59.94453812
15-04-2,32.31345470944445,31.944677355,5.708780052091603,13.93740749,54.64809036
15-05-2,33.568827171020835,34.032205585,5.497654634843951,13.78418446,51.98345947
15-06-2,43.518816994604165,37.45407486,19.22971623246934,13.51215267,185.5488739
15-07-2,58.28193716207986,56.12100029,14.239161772872635,23.89576149,135.2203217
15-08-2,48.43194215894097,48.04058838,10.638303689700239,15.10059738,91.23268127
15-09-2,53.42043599752431,52.65490341,12.098083748361875,17.00617218,112.740036
15-10-2,31.46698813110764,31.356981275,5.031189391113196,13.51083279,48.4641304
15-11-2,39.74516112539236,40.21321487,5.434511822401285,20.6943264,57.86865616
16-01-2,27.336385195722222,27.31818008,3.232676551104287,16.43618011,38.15406418
16-02-2,29.07978940146875,29.400908469999997,3.253736242229852,17.73727608,39.57632065
16-03-2,36.43833103572222,37.147649765,5.591785643878204,16.25116158,58.10864639
16-04-2,29.280263962385416,28.29087925,5.922755937899157,13.51083279,71.10005188
16-05-2,40.73001398579514,39.155540465,8.96864874065594,16.44327354,80.66262054
16-06-2,51.950581532715276,51.088470459999996,13.804209427665418,24.74897194,140.1378326
16-07-2,54.489418884131936,54.054019925,11.492387294406956,13.51083279,109.3338776
16-08-2,54.495136130496526,55.001651765,10.935846999879535,18.89874458,96.54962158
16-09-2,49.64748684173264,48.42842102,10.78558041974024,17.17424011,94.02826691
16-10-2,27.256343682711805,27.067788125,3.2053982194908093,17.94168282,38.07843781
16-11-2,39.8222319861007,39.970794675,7.81606795058665,20.33282661,79.61204529
17-01-2,28.60436584081597,28.933416365,3.5614245372543922,16.79089737,40.58453369
17-02-2,29.103039578590277,29.430693625,3.5916664215520817,16.47647667,41.25511551
17-03-2,29.02478942945486,29.08419037,3.3894334319076114,16.4784317,44.45503616
17-04-2,34.97886981638889,35.22142029,5.33697903626885,16.22958374,59.75797272
17-05-2,49.43857152651389,49.18217278,11.083066045162981,14.84317684,106.4205933
17-06-2,57.91427209710764,57.8170681,13.597194409844322,25.38864899,95.3462677
17-07-2,50.14077676998611,50.46800804,12.604718238854712,13.51083279,119.1442261
17-08-2,46.87613024412847,47.0924263,7.655902089479931,13.51083279,76.09001923
17-09-2,49.22081581817013,49.114816665,10.255286605836794,17.22153664,105.2397919
17-10-2,32.27116829752777,31.583109855,5.384392119482709,21.78361702,48.00755692
17-11-2,41.53990546866667,41.224853515,5.658627745095352,29.79005623,51.88367462
18-01-2,32.18508809471875,32.196996690000006,4.327752318642402,17.57103157,53.95488358
18-02-2,29.425570254871527,29.44244003,3.6112467108786865,16.2107029,42.7473259
18-03-2,29.17587218080208,29.55920887,3.370683725337091,17.01070023,40.53543472
18-04-2,34.630184808430556,34.352077484999995,5.7704102937052735,15.67161274,54.81095505
18-05-2,51.316696639875005,50.403608320000004,11.423860612930053,15.32839584,93.71496582
18-06-2,56.63712154564583,57.958114625,12.34405028037028,25.31221199,91.09375763
18-07-2,34.292445689534716,33.916166305000004,7.331211779242509,13.51083279,63.73710632
18-08-2,47.36571525266666,47.63979149,8.33991863099347,20.35589409,80.49584961
18-09-2,51.4670139432118,49.55078125,12.202697520150826,17.49999428,112.9864502
18-10-2,31.566751322489583,31.268939015,4.504446259953602,21.33590508,46.05290985
19-01-2,27.82388906490278,27.52693367,3.2222441328516607,16.36228561,40.88948441
19-02-2,34.55275706252083,33.98227501,5.756394585112794,16.42525291,58.62215805
19-03-2,31.80316546628472,32.188285825,4.393469655782823,15.29901886,47.91439438
19-04-2,32.07778638565278,31.987930294999998,4.444639659927067,15.9037447,47.0932312
19-05-2,41.4196339981632,40.142822265,10.849782286336573,15.70079899,76.36927032
19-06-2,57.66632847450695,58.507963180000004,12.767291255511982,26.27293205,97.52920532
19-07-2,43.45656136370139,40.095958710000005,13.825749817805836,13.51083279,112.2991867
19-08-2,37.21498814228472,37.101013185,7.303895153342513,17.39892006,66.63860321
19-09-2,51.222073056232645,49.78540611,11.53144682721112,16.7328186,98.77350616
19-10-2,34.212675362163196,33.601898195000004,5.8608832493581975,22.04781532,50.40284729
20-01-2,27.813443251475697,27.8142252,2.9638483681548062,16.62667847,38.7749176
20-02-2,38.659714617413194,38.905376435,5.992934048550762,22.71328926,64.4252243
20-03-2,29.889077528003472,30.086983685,4.098927068186148,13.51225758,46.18487167
20-04-2,28.49342927265972,28.435587885,3.272302832422717,16.24258041,39.14767075
20-05-2,40.03496787612153,38.145025255,10.740554116877476,14.74103069,73.01603699
20-06-2,52.471794409850695,50.672035215,14.636174109253403,17.71913338,179.1816559
20-07-2,51.10237588622917,50.517349245,11.444515485681553,21.19685173,102.4656677
20-08-2,31.630913779121524,32.43429184,5.770890855325232,13.51083279,51.44742203
20-09-2,51.32952726482639,50.79455757,10.591373020313753,17.17715645,93.52838898
20-10-2,37.56398477687847,37.233739854999996,6.666352266337564,21.01637459,59.12776566
21-01-2,31.509183107479167,31.06350231,4.822803514756586,17.46883965,43.74488449
21-02-2,36.42011713059722,37.375112529999996,5.661222512000853,20.02779961,49.42370224
21-03-2,33.05453820951736,32.804613114999995,5.425125083540028,14.95859241,60.98799133
21-04-2,31.867121061451392,31.437173845,4.62767849344106,17.35930824,50.99263763
21-05-2,58.32765664367708,56.02737236,17.965515604434355,15.27024174,161.2195282
21-06-2,55.62535355086805,49.55444145,18.652462763860946,17.05830956,119.2196045
21-07-2,54.664294029440974,53.187749865,13.623966148912706,16.64218903,142.3731995
21-08-2,35.821570361628474,35.046321864999996,8.315790464905673,13.51083279,77.08573151
21-09-2,59.236042784243054,55.97413635,16.619452562188403,16.97010803,158.7103729
21-10-2,39.03778275782986,38.610025405,7.175684768672478,21.09057045,61.44987488
22-01-2,34.744415992506944,35.77073288,5.504893734728664,19.79851341,48.04162216
22-02-2,38.64872572423611,38.885387425,6.042860302133426,16.44607162,65.05781555
22-03-2,30.57917033676042,30.518654825,5.4288814000789,13.51083279,55.22095871
22-04-2,35.726830910940976,36.226104735,5.80144773051881,18.85914803,47.70697403
22-05-2,41.04803640641667,38.11253357,11.960418124491019,16.90180206,100.0601501
22-06-2,57.7785497427118,59.138216015,13.649920981662348,18.94099045,99.78915405
22-07-2,54.71984698214584,55.203781129999996,13.001722821580104,13.51083279,120.0339279
22-08-2,44.749251790222225,42.09866333,11.405933010754149,24.19332123,83.42321777
